29,18 29,42 99,92112,92114,4133,62126,98134,4132,86130,9131,86
113,62130,44130,3131,34124,48123,52112,7122,7123,92114,9122,58
124,24124,84115,54124,54124,22122,2123,8124,12122,96121,66125,72
124,44127,2122,82127,5125,9109,28122,26122,32127,54127,2129,64
124,4110,6123,2120,74104,9116,4110,46122,6121,64115,68129,94
124,92128,26110,86114,76115,42124,82125,82128,6126,6129,8122,58
128,86131,1129,4123,8128,4118,46123,36127,58124,7128,94129,6
130,96117,6118,96127,36126,94129,42113,48128,14133123,36125,54,
127,32110,16123,44126,16125,82129,46123,7122,72124,9 99,74141,2
129,2122,54124,18126,74117,4112,76122,2125,8122,76123,82122,82
125124,2133,88137,96135,22117,1127,66125,78120,16119,12123,96,
125,34118,38125,2122,96126,84122,26126,1125,82104,84122,16121,8
122,76126,18134,84128,12119,28128,4132,46124,68126,88123,88116,74
125,6124,9121,66122,46122,98122,54111,24122,64122,24125,56125,8
122,58123,46116,88115,52128,18121,84124,52124,46117,1114,5123,9
130,4121,62124,5124,2124,78118,38122,54122,92122,62122,82122,54
123,78122,36124,28105,96123,68126,38122,44121,96124,8122,62120,92
122,72126,5128,78123,88122,86124,16123,22103,84124,76122,62124,8
123,18122,52114,16123,26120,68130,5129,74132,46132,98114,16129,18
124,66117,36129,2122,6124,26128,52128,14124,1126,66128,18124,48
119,7125,54121,36132,34136,54125,52113,14127,58122,52124,6124,6
123,42123,46116,3127,3121,18124,94121,7123,52117116,1120,9,
129,36124,74123,58127,28130,22117,12127,72116,6124,5109,36125,52
122,26119,9121,8122,2123,1124,1122,34121,7123,1119,48123,86
123,72127,54134,2131,94121,3122,78125,76122,12122,38123,34123,8
122,48110,82122,3124,42128,5113,22127,98113,92122,36126,18123,3
121,52123,34126,42106,3130,66125,96122122,78123,68124,82115,44,
123,64125,42123,34132,86134,32120,6136,32128,2122122,52123,66,
124,66120,68129,56124,9124,16124,6122,68122,6123,86113123,6,
123,74123,4116,46130,62121,8103,36126,2121,44122,22122,74122,84
110,68121,98101,4122,84123,34126,18126,14131,7110,3125,56123,58
124,56117,36115,74127,3129,42112,2122,52130,8135,82125,6125,94
129,36123,94111,8123,98118,32117,58128,8123,56127,12123,74123,3
122,48121,5109,26127,44122,96123,56118,8116,4123,14122125,32,
123,84121,78122,18122,32107,22123,8126,58123,9124,4124,8113,2
124,54126,64128,7122,34128,32125,76127,4131,58134135,64122,26,
128,7133,24128,42129,96113,6125,84117,98127,42122,96124,4125,4
110,1122,78131,2122,9115,58125,22123,66125,14128,48124,1122,5
125,66136,72124,2123,64118,18123,56121,3122,38123,18121122,66,
122,8106,22122,28126,54123,22123,24123,68123,68112,58127,4123,58
124,28125,66125,18123,6115,9124,6124,16121,7126,68113,2121,88
121,88120,62 91,42124,86124,52124,28122,18124,36122,46 91,9122,98
109,56123,74122,56122,78122,26121,56122,82111,42122,66123,6123,46
122,22123,6123122,7116,3123,86122,86123,54123,7123,74122,88,
115,86110,92123,12122,6123,6123,36121,78122,66123,1104,36122,66
122,84123,98123,42123,74129,26118,34127,2131,16126,26 1134,88126,7
119,96120,84122,6123,4123,46123123,44122,28119,76115,12122,,
126,38107,2122,74124,94123,2112,78123,24123,96124,6122,74122,52
123,76123,78 70,32121,68124,5123,76122,24122,34121,88123,88116,3
122,1122,16127,94125,16122,6124,22110123,58124,6122,9125,58,
122,4123,78122,94118,66124,16124,8121,88123,6121,6124,74113,26
122,7124,3126,38123,6121,28124,18125,62114,18125,1120,96122,6
122,1122,72123,28122,98115,46123,5122,54124,44124,1123,48122,76
123,22105,26125,48124,76127,8123,46128,4123,68107,54122,38123,94
122,12131,86124,1123,54122,76111,76122,84130,4125,44129,4131,46
127,42109,74123,46123,46125,3131124,92125,36106,96122,42116,14,
127,26125,6125,72117,68120,54130,8134,88130,12131,14124,88120,1
124,42171,2124,5118,42121,96112,62124,2122,42123,46125,26124,88
124,52119,34125,28122,38134,2134,22115,98127,16128,44127,14123,34
124,64125,36119,78129,74127,5126,1127,76125,92114,24125,16126,26
123,8122,76124,6123,56106,54127,5125,64122,16121,92124,8122,16
116,22125,1127,6122,8127,78126,12124,64105,4123,28123,66120,84
123,98129,8123,5125,26110,8122,46123,44122,1122,14122,38123,86
122,78108,72127,84124,38124,86136,2124,26123,66115,32 78,22123,88
